Minggu;Facebook;YouTube;Instagram;WhatsApp;TikTok
2019-10-20;26;40;12;40;0
2019-10-27;28;29;19;44;0
2019-11-03;26;46;20;35;0
2019-11-10;13;36;0;41;0
2019-11-17;24;30;12;58;0
2019-11-24;19;36;18;54;0
2019-12-01;14;27;17;43;0
2019-12-08;22;18;0;42;0
2019-12-15;16;16;13;37;0
2019-12-22;13;0;0;51;0
2019-12-29;15;10;11;40;0
2020-01-05;24;17;10;38;0
2020-01-12;23;22;15;43;0
2020-01-19;26;38;17;49;0
2020-01-26;23;25;9;45;0
2020-02-02;19;31;17;40;0
2020-02-09;21;34;0;41;0
2020-02-16;20;25;11;39;0
2020-02-23;20;34;22;55;0
2020-03-01;25;32;19;48;0
2020-03-08;18;18;0;50;0
2020-03-15;20;34;8;55;0
2020-03-22;15;25;14;56;0
2020-03-29;15;19;0;51;0
2020-04-05;17;25;18;51;0
2020-04-12;21;23;9;50;0
2020-04-19;24;15;14;46;0
2020-04-26;25;24;17;46;0
2020-05-03;22;18;20;55;0
2020-05-10;20;24;12;50;0
2020-05-17;18;14;14;44;0
2020-05-24;21;9;14;47;0
2020-05-31;17;26;11;40;0
2020-06-07;11;20;10;43;0
2020-06-14;15;20;9;45;0
2020-06-21;15;24;11;53;0
2020-06-28;21;0;16;45;0
2020-07-05;12;19;10;44;0
2020-07-12;18;18;10;47;0
2020-07-19;16;23;0;41;8
2020-07-26;16;18;13;32;0
2020-08-02;9;15;8;35;0
2020-08-09;20;41;12;40;0
2020-08-16;19;47;16;51;0
2020-08-23;17;22;11;41;0
2020-08-30;14;21;12;39;0
2020-09-06;16;26;11;57;0
2020-09-13;18;26;12;60;0
2020-09-20;15;31;14;41;0
2020-09-27;14;43;13;47;0
2020-10-04;0;31;9;57;8
2020-10-11;18;19;10;31;0
2020-10-18;18;19;0;53;0
2020-10-25;19;30;19;57;12
2020-11-01;16;20;12;49;8
2020-11-08;16;28;12;55;0
2020-11-15;16;24;11;48;0
2020-11-22;20;28;19;58;14
2020-11-29;19;18;8;34;0
2020-12-06;12;12;8;38;0
2020-12-13;0;15;0;48;0
2020-12-20;10;15;17;41;0
2020-12-27;0;14;0;38;0
2021-01-03;17;19;0;47;0
2021-01-10;19;0;12;51;0
2021-01-17;12;11;10;43;0
2021-01-24;22;20;0;77;0
2021-01-31;11;16;9;35;14
2021-02-07;21;16;17;48;13
2021-02-14;15;9;0;36;0
2021-02-21;14;19;11;20;9
2021-02-28;14;16;9;20;13
2021-03-07;0;23;11;23;9
2021-03-14;0;23;16;20;0
2021-03-21;8;19;12;31;11
2021-03-28;17;19;21;25;11
2021-04-04;16;22;8;28;13
2021-04-11;15;17;0;28;11
2021-04-18;14;11;10;37;19
2021-04-25;15;17;9;34;8
